#options: 1920x886 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=7800 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=8000 vbv_bufsize=16000 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:20.89 aq:10.51 tex:48855 mv:629 misc:6732 imb:6720 pmb:0 smb:0 d:- ref:;
in:52 out:53 type:b dur:2 cpbdur:2 q:3.24 aq:1.73 tex:52046 mv:2939 misc:615 imb:19 pmb:179 smb:6522 d:- ref:0 ;
in:54 out:54 type:P dur:2 cpbdur:2 q:3.19 aq:0.72 tex:72955 mv:2092 misc:553 imb:68 pmb:152 smb:6500 d:- ref:0 ;
in:55 out:55 type:P dur:2 cpbdur:2 q:3.17 aq:0.47 tex:88414 mv:2379 misc:647 imb:86 pmb:146 smb:6488 d:- ref:0 ;
in:56 out:56 type:P dur:2 cpbdur:2 q:3.09 aq:0.50 tex:77140 mv:2384 misc:652 imb:116 pmb:142 smb:6462 d:- ref:0 ;
in:57 out:57 type:P dur:2 cpbdur:2 q:3.17 aq:0.48 tex:107910 mv:2693 misc:717 imb:162 pmb:124 smb:6434 d:- ref:0 w:5,27,25,7,108,24,109,13 ;
in:58 out:58 type:P dur:2 cpbdur:2 q:3.15 aq:0.34 tex:132826 mv:2823 misc:743 imb:174 pmb:110 smb:6436 d:- ref:0 w:7,107,26,6,55,21,54,13 ;
in:59 out:59 type:P dur:2 cpbdur:2 q:3.21 aq:0.17 tex:142136 mv:2637 misc:635 imb:256 pmb:72 smb:6392 d:- ref:0 ;
in:60 out:60 type:P dur:2 cpbdur:2 q:3.23 aq:0.09 tex:131272 mv:2283 misc:709 imb:294 pmb:56 smb:6370 d:- ref:0 ;
in:61 out:61 type:P dur:2 cpbdur:2 q:3.15 aq:0.30 tex:122841 mv:1783 misc:568 imb:324 pmb:38 smb:6358 d:- ref:0 ;
in:62 out:62 type:P dur:2 cpbdur:2 q:3.13 aq:0.66 tex:69717 mv:1614 misc:589 imb:244 pmb:32 smb:6444 d:- ref:0 ;
in:63 out:63 type:P dur:2 cpbdur:2 q:3.08 aq:0.92 tex:58071 mv:1247 misc:586 imb:156 pmb:28 smb:6536 d:- ref:0 ;
in:65 out:64 type:P dur:2 cpbdur:2 q:2.95 aq:0.52 tex:74861 mv:1273 misc:626 imb:184 pmb:34 smb:6502 d:- ref:0 ;
in:64 out:65 type:b dur:2 cpbdur:2 q:3.08 aq:0.83 tex:68471 mv:2001 misc:704 imb:13 pmb:171 smb:6536 d:- ref:0 ;
in:66 out:66 type:P dur:2 cpbdur:2 q:3.02 aq:0.72 tex:79293 mv:1779 misc:576 imb:129 pmb:58 smb:6533 d:- ref:0 ;
in:67 out:67 type:P dur:2 cpbdur:2 q:2.88 aq:0.47 tex:74869 mv:1938 misc:585 imb:149 pmb:55 smb:6516 d:- ref:0 ;
in:68 out:68 type:P dur:2 cpbdur:2 q:2.87 aq:0.71 tex:103758 mv:2584 misc:562 imb:150 pmb:98 smb:6472 d:- ref:0 ;
in:70 out:69 type:P dur:2 cpbdur:2 q:3.13 aq:0.73 tex:125337 mv:2612 misc:763 imb:238 pmb:70 smb:6412 d:- ref:0 ;
in:69 out:70 type:b dur:2 cpbdur:2 q:3.12 aq:0.55 tex:82576 mv:3481 misc:759 imb:33 pmb:231 smb:6456 d:- ref:0 ;
in:71 out:71 type:P dur:2 cpbdur:2 q:3.28 aq:0.60 tex:76263 mv:2779 misc:678 imb:204 pmb:124 smb:6392 d:- ref:0 ;
in:73 out:72 type:P dur:2 cpbdur:2 q:3.30 aq:0.63 tex:141292 mv:3222 misc:710 imb:283 pmb:88 smb:6349 d:- ref:0 ;
in:72 out:73 type:b dur:2 cpbdur:2 q:3.30 aq:0.67 tex:60282 mv:3637 misc:841 imb:65 pmb:255 smb:6400 d:- ref:0 ;
in:74 out:74 type:P dur:2 cpbdur:2 q:3.21 aq:0.60 tex:90280 mv:3240 misc:712 imb:224 pmb:159 smb:6337 d:- ref:0 ;
in:75 out:75 type:P dur:2 cpbdur:2 q:4.14 aq:2.01 tex:70470 mv:3086 misc:676 imb:224 pmb:155 smb:6341 d:- ref:0 ;
in:76 out:76 type:P dur:2 cpbdur:2 q:4.15 aq:1.48 tex:138322 mv:3676 misc:674 imb:300 pmb:171 smb:6249 d:- ref:0 ;
in:77 out:77 type:P dur:2 cpbdur:2 q:4.16 aq:0.66 tex:119471 mv:3710 misc:763 imb:233 pmb:230 smb:6257 d:- ref:0 ;
in:79 out:78 type:P dur:2 cpbdur:2 q:4.77 aq:0.18 tex:182082 mv:4409 misc:789 imb:322 pmb:227 smb:6171 d:- ref:0 ;
in:78 out:79 type:b dur:2 cpbdur:2 q:4.77 aq:2.19 tex:52846 mv:4578 misc:960 imb:55 pmb:407 smb:6258 d:- ref:0 ;
in:82 out:80 type:P dur:2 cpbdur:2 q:4.95 aq:0.09 tex:138856 mv:4061 misc:947 imb:319 pmb:285 smb:6116 d:- ref:0 ;
in:80 out:81 type:B dur:2 cpbdur:2 q:4.95 aq:1.01 tex:30802 mv:3007 misc:1167 imb:21 pmb:423 smb:6276 d:- ref:0 ;
in:81 out:82 type:b dur:2 cpbdur:2 q:4.95 aq:1.62 tex:1720 mv:558 misc:1082 imb:1 pmb:242 smb:6477 d:- ref:0 ;
in:86 out:83 type:P dur:2 cpbdur:2 q:5.65 aq:0.39 tex:150147 mv:2292 misc:1337 imb:309 pmb:226 smb:6185 d:- ref:0 ;
in:84 out:84 type:B dur:2 cpbdur:2 q:6.10 aq:5.66 tex:3093 mv:472 misc:923 imb:4 pmb:119 smb:6597 d:- ref:0 ;
in:83 out:85 type:b dur:2 cpbdur:2 q:6.10 aq:0.34 tex:1329 mv:334 misc:697 imb:0 pmb:86 smb:6634 d:- ref:0 ;
in:85 out:86 type:b dur:2 cpbdur:2 q:6.10 aq:4.76 tex:1505 mv:210 misc:509 imb:1 pmb:28 smb:6691 d:- ref:0 ;
in:90 out:87 type:P dur:2 cpbdur:2 q:5.82 aq:1.53 tex:557082 mv:7352 misc:1814 imb:1160 pmb:183 smb:5377 d:- ref:0 ;
in:88 out:88 type:B dur:2 cpbdur:2 q:6.11 aq:1.21 tex:6800 mv:925 misc:1955 imb:19 pmb:524 smb:6177 d:- ref:0 ;
in:87 out:89 type:b dur:2 cpbdur:2 q:6.11 aq:0.09 tex:754 mv:274 misc:1124 imb:2 pmb:244 smb:6474 d:- ref:0 ;
in:89 out:90 type:b dur:2 cpbdur:2 q:6.11 aq:4.07 tex:622 mv:237 misc:1221 imb:2 pmb:251 smb:6467 d:- ref:0 ;
in:94 out:91 type:P dur:2 cpbdur:2 q:6.10 aq:1.47 tex:191824 mv:3235 misc:1533 imb:683 pmb:112 smb:5925 d:- ref:0 ;
in:92 out:92 type:B dur:2 cpbdur:2 q:6.10 aq:3.14 tex:9564 mv:810 misc:1514 imb:25 pmb:303 smb:6392 d:- ref:0 ;
in:91 out:93 type:b dur:2 cpbdur:2 q:6.09 aq:0.86 tex:1174 mv:310 misc:1204 imb:2 pmb:227 smb:6491 d:- ref:0 ;
in:93 out:94 type:b dur:2 cpbdur:2 q:6.10 aq:1.99 tex:863 mv:222 misc:803 imb:1 pmb:76 smb:6643 d:- ref:0 ;
in:98 out:95 type:P dur:2 cpbdur:2 q:6.29 aq:0.42 tex:17163 mv:1948 misc:1353 imb:1344 pmb:31 smb:5345 d:- ref:0 ;
in:96 out:96 type:B dur:2 cpbdur:2 q:6.28 aq:2.61 tex:6586 mv:780 misc:1770 imb:19 pmb:465 smb:6236 d:- ref:0 ;
in:95 out:97 type:b dur:2 cpbdur:2 q:6.28 aq:3.48 tex:2659 mv:621 misc:1368 imb:10 pmb:297 smb:6413 d:- ref:0 ;
in:97 out:98 type:b dur:2 cpbdur:2 q:6.29 aq:0.63 tex:7455 mv:532 misc:1133 imb:1 pmb:249 smb:6470 d:- ref:0 ;
in:101 out:99 type:P dur:2 cpbdur:2 q:6.21 aq:1.25 tex:66484 mv:2529 misc:1259 imb:1309 pmb:29 smb:5382 d:- ref:0 ;
in:99 out:100 type:B dur:2 cpbdur:2 q:6.29 aq:1.31 tex:25706 mv:1828 misc:1770 imb:28 pmb:482 smb:6210 d:- ref:0 ;
in:100 out:101 type:b dur:2 cpbdur:2 q:6.29 aq:0.88 tex:27820 mv:2435 misc:1073 imb:11 pmb:332 smb:6377 d:- ref:0 ;
in:105 out:102 type:P dur:2 cpbdur:2 q:6.39 aq:1.31 tex:183512 mv:5590 misc:810 imb:850 pmb:66 smb:5804 d:- ref:0 ;
in:103 out:103 type:B dur:2 cpbdur:2 q:6.39 aq:1.11 tex:83973 mv:6075 misc:1368 imb:61 pmb:391 smb:6268 d:- ref:0 ;
in:102 out:104 type:b dur:2 cpbdur:2 q:6.39 aq:1.04 tex:43370 mv:3865 misc:973 imb:14 pmb:284 smb:6422 d:- ref:0 ;
in:104 out:105 type:b dur:2 cpbdur:2 q:6.39 aq:1.73 tex:99562 mv:6075 misc:1395 imb:27 pmb:496 smb:6197 d:- ref:0 ;
in:108 out:106 type:P dur:2 cpbdur:2 q:6.58 aq:2.07 tex:345958 mv:12611 misc:1135 imb:1580 pmb:326 smb:4814 d:- ref:0 ;
in:106 out:107 type:B dur:2 cpbdur:2 q:6.57 aq:1.73 tex:171739 mv:9833 misc:1940 imb:83 pmb:739 smb:5898 d:- ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:6.57 aq:2.31 tex:184952 mv:11790 misc:1938 imb:45 pmb:902 smb:5773 d:- ref:0 ;
in:110 out:109 type:P dur:2 cpbdur:2 q:6.67 aq:1.85 tex:442443 mv:15893 misc:1528 imb:2146 pmb:446 smb:4128 d:- ref:0 ;
